symbol
RELIANCE
TCS
HDFCBANK
INFY
ICICIBANK
HINDUNILVR
ITC
SBIN
BHARTIARTL
KOTAKBANK
LT
AXISBANK
BAJFINANCE
ASIANPAINT
MARUTI
HCLTECH
SUNPHARMA
TITAN
ULTRACEMCO
NESTLEIND
WIPRO
ONGC
NTPC
POWERGRID
M&M
TATASTEEL
JSWSTEEL
ADANIENT
ADANIPORTS
COALINDIA
BAJAJFINSV
TECHM
INDUSINDBK
GRASIM
HINDALCO
DRREDDY
CIPLA
EICHERMOT
BRITANNIA
BPCL
DIVISLAB
HEROMOTOCO
APOLLOHOSP
TATACONSUM
SBILIFE
HDFCLIFE
BAJAJ-AUTO
UPL
SHREECEM
PIDILITIND
DLF
GODREJCP
DABUR
HAVELLS
SIEMENS
AMBUJACEM
GAIL
IOC
BANKBARODA
PNB
CANBK
IDFCFIRSTB
FEDERALBNK
AUBANK
CHOLAFIN
MUTHOOTFIN
BAJAJHLDNG
ABB
BOSCHLTD
HDFCAMC
ICICIGI
ICICIPRULI
SBICARD
LICHSGFIN
RECLTD
PFC
IRFC
NHPC
SJVN
TATAPOWER
ADANIGREEN
ADANIENSOL
JINDALSTEL
SAIL
NMDC
HINDZINC
NATIONALUM
RAMCOCEM
ACC
BERGEPAINT
MARICO
COLPAL
TRENT
DMART
NAUKRI
INDIGO
IRCTC
ETERNAL
PAYTM
POLICYBZR
NYKAA
VEDL
DELHIVERY
PERSISTENT
COFORGE
MPHASIS
LTTS
TATAELXSI
CUMMINSIND
ESCORTS
TVSMOTOR
BALKRISIND
MOTHERSON
BHARATFORG
ASHOKLEY
EXIDEIND
SRF
AARTIIND
DEEPAKNTR
PIIND
NAVINFLUOR
ALKEM
LUPIN
AUROPHARMA
BIOCON
TORNTPHARM
GLENMARK
GMRAIRPORT
CONCOR
CROMPTON
VOLTAS
BLUESTARCO
POLYCAB
DIXON
KEI
ABCAPITAL
ABFRL
BANDHANBNK
BATAINDIA
CANFINHOME
CGPOWER
GODREJPROP
OBEROIRLTY
PHOENIXLTD
PRESTIGE
LODHA
IDEA
INDUSTOWER
TIINDIA
SUPREMEIND
ASTRAL
APLAPOLLO
JSWENERGY
TORNTPOWER
UNIONBANK
IOB
YESBANK
RBLBANK
MANAPPURAM
PVRINOX
SUNTV
ZEEL
NAVA
HFCL
IEX
MCX
CDSL
BSE
ANGELONE
CAMS
KFINTECH
PGEL
KALYANKJIL
METROPOLIS
LALPATHLAB
MFSL
IGL
PETRONET
OIL
HAL
BEL
BDL
MAZDOCK
COCHINSHIP
SOLARINDS
RVNL
IRCON
RITES
NBCC
NCC
KPITTECH
OFSS
INDHOTEL
CHAMBLFERT
COROMANDEL
UBL
RADICO
VBL
PATANJALI
JUBLFOOD
